user,rate,url
0,3,0062622
0,3,1345836
1,4,0133093
1,3,1345836
1,3,0062622
2,5,0457430
2,2,1345836
2,5,0133093
3,3,0062622
3,3,1345836
4,4,1345836
4,5,0435761
4,2,0062622
5,1,1345836
5,1,0062622
5,3,0266697
5,4,0114709
6,2,0062622
6,4,1345836
7,4,1345836
7,3,0062622
8,2,0133093
8,2,1345836
8,5,0457430
8,5,0266697
9,5,1345836
9,3,0062622
10,2,0062622
10,3,0457430
11,3,0062622
11,5,0133093
12,2,0062622
12,3,0338013
13,4,0086250
13,4,0062622
13,5,0133093
14,3,0338013
14,4,0266697
14,4,0114709
15,3,0062622
15,4,1345836
16,4,0133093
16,4,1345836
16,3,0457430
16,4,0062622
17,4,1345836
17,5,0062622
18,3,1345836
18,3,0086250
18,3,0133093
19,3,1345836
19,4,0062622
20,4,0062622
20,3,1345836
21,4,1345836
21,3,0062622
22,2,0054215
22,1,1345836
22,3,0457430
23,5,0457430
23,2,1345836
23,5,0133093
24,3,0062622
24,3,0457430
25,4,0133093
25,3,1345836
26,3,1345836
26,4,0133093
27,2,0062622
27,5,0133093
28,3,0457430
28,4,0062622
28,4,1345836
29,1,0062622
29,2,0071562
30,5,1345836
30,5,0062622
31,5,0062622
31,3,1345836
32,3,0062622
32,5,0133093
33,2,0062622
33,2,1345836
34,3,0057012
34,4,1345836
34,3,0062622
34,4,0457430
34,3,0338013
35,4,0062622
35,4,1345836
36,4,0086250
36,3,1345836
37,4,1345836
37,2,0457430
37,2,0338013
37,4,0133093
37,2,0062622
38,4,1345836
38,4,0062622
39,4,0253474
39,5,0062622
39,4,1345836
40,3,0062622
40,5,0133093
41,4,1345836
41,3,0062622
41,5,1220719
42,4,0062622
42,4,0457430
42,2,0266697
43,5,1345836
43,5,0062622
44,4,0062622
44,4,1345836
45,3,0457430
45,4,1345836
46,4,1345836
46,3,0062622
47,4,1345836
47,3,0062622
47,3,0457430
48,3,0198781
48,2,1345836
49,2,1853728
49,2,0209144
49,2,0180093
49,2,0119698
49,2,1375666
49,2,1675434
49,2,0482571
49,2,0133093
49,2,0102926
49,3,0910970
49,2,0054215
49,3,0066921
49,3,1220719
49,2,1345836
49,2,0110413
49,2,0086190
49,3,0060196
49,3,0109830
49,2,0457430
49,3,0076759
50,4,0062622
50,1,1345836
51,2,1345836
51,3,0338013
52,4,0133093
52,4,0457430
53,5,0114709
53,4,0057012
53,5,1345836
54,4,0062622
54,4,0133093
54,2,0057012
55,1,0062622
55,1,1345836
56,3,0062622
56,2,1345836
57,5,0062622
57,5,0407887
57,5,1345836
58,3,0457430
58,2,1345836
59,3,1345836
59,5,0457430
60,3,1345836
60,3,0133093
60,1,0062622
61,3,0062622
61,4,1345836
62,5,0457430
62,3,1345836
62,3,0062622
62,5,0133093
63,3,0457430
63,5,1345836
64,4,0062622
64,4,1345836
65,3,0457430
65,3,0119698
66,3,0457430
66,3,0062622
67,4,0457430
67,5,0050083
67,3,1345836
68,3,0054215
68,4,0095327
69,4,1345836
69,1,0062622
70,4,1345836
70,5,0062622
71,3,0062622
71,4,1345836
72,5,0133093
72,3,0457430
72,4,0338013
72,4,0062622
73,3,0062622
73,4,1345836
73,4,0133093
74,4,0253474
74,4,1345836
75,3,0457430
75,3,1345836
75,1,0062622
76,4,0062622
76,2,1345836
77,4,1345836
77,3,0062622
78,5,0133093
78,5,0062622
78,3,1345836
79,5,0057012
79,4,0062622
79,4,1345836
79,4,0133093
80,2,0062622
80,3,1345836
80,3,0133093
81,2,0062622
81,3,0338013
81,4,0457430
81,5,0133093
81,3,0114709
81,4,1220719
81,3,0266697
81,3,1345836
81,4,1375666
81,1,0435761
81,4,0081505
82,1,0062622
82,3,1345836
83,5,0133093
83,2,0062622
84,5,0133093
84,5,1345836
85,1,0062622
85,2,1345836
86,2,0062622
86,5,1345836
87,5,0133093
87,1,0062622
88,4,1345836
88,4,0062622
89,3,0062622
89,3,1345836
90,4,1345836
90,3,0062622
91,5,0133093
91,1,1345836
92,1,0435761
92,3,0266697
93,3,1345836
93,4,0062622
94,3,0062622
94,4,1345836
95,3,0133093
95,3,0180093
95,3,0457430
96,4,0062622
96,3,0133093
97,3,0057012
97,4,0457430
97,4,1345836
97,2,0062622
98,3,0062622
98,5,0133093
